name,lat,lon,plant:source,plant:output:electricity,plant:storage
Uisge Labhair,56.7960859,-4.5921073,hydro,1.195,
Carnoch Hydro,56.6861422,-5.5069974,hydro,1.4,
River Grudie Hydroelectric Scheme,57.6501099,-5.4110805,hydro,2.0,
Nostie Bridge Power Station,57.2851657,-5.5654677,hydro,1.3,
Utha Hydropower Scheme,56.8773688,-5.4898625,hydro,0.5,
,53.4248499,-1.7443549,hydro,0.165,
River E Hydro Scheme,57.2142659,-4.4494653,hydro,3.0,
Loch Eilde Mor Hydroelectric Power Plant,56.7131195,-4.9525061,hydro,2.0,
,53.5773328,-2.3092214,hydro,0.1,
Ghuilbinn,56.8877259,-4.5766296,hydro,2.8000000000000003,
Gleann Casaig Hydro Scheme,56.2533435,-4.3745708,hydro,0.5,
,53.1062462,-4.0815113,hydro,0.35000000000000003,
Reading Hydro,51.4615407,-0.9646119,hydro,0.049,
Loch Gair Power Station,56.0655172,-5.3359865,hydro,6.0,
Gaur Power Station,56.6782403,-4.5086401,hydro,6.4,
Langwell Estate hydro scheme,57.9695211,-5.0632447,hydro,1.2,
Badachro Hydro Scheme,57.6777814,-5.7074669,hydro,1.5,
Garbhaig Hydro Scheme,57.6815714,-5.5325305,hydro,2.0,
River Taodail Hydro,57.4234101,-5.4232676,hydro,1.4,
Chonais Hydro,57.4908469,-5.2589470,hydro,2.0,
Uisge Dubh Hydro,57.3759672,-5.3279333,hydro,2.0,
Allt Cheanna Mhuir Hydro,56.9749778,-5.1200406,hydro,1.3,
Loch An Laoigh Hydro,57.4039225,-5.3036077,hydro,1.0,
Allt Ladaidh Hydro,57.0720999,-4.9168308,hydro,1.3,
River Coiltie Hydro Scheme,57.3164265,-4.5043486,hydro,1.9,
Allt Eirichaellach,57.0776273,-5.3048450,hydro,0.7,
Bruach Caorainn Hydroelectric Power Station,56.1744349,-4.5472989,hydro,1.2,
St. Fillans Power Station,56.3956588,-4.1232404,hydro,16.8,
Lednock Power Station,56.4474812,-4.1139300,hydro,3.0,
Chreagaich,56.7886779,-4.5982590,hydro,0.1,
Harlaw Hydro,55.8731511,-3.3118640,hydro,0.085,
Romney Weir Hydroelectric Scheme,51.4881009,-0.6061021,hydro,0.2,
Allt Mhor Hydro,57.0973477,-4.0717598,hydro,0.6,
,53.4648249,-2.3810516,hydro,0.6,
Greenburn Hydro,54.4157139,-3.0820965,hydro,0.1,
Ystradffin Hydropower Plant,52.0978682,-3.7889241,hydro,1.8,
Blair Castle Hydro Electric Power Station,56.7722251,-3.8553360,hydro,0.084,
Glenachulish Hydro,56.6812225,-5.1898947,hydro,0.547,
Dutton Sluice Hydro,53.2887678,-2.6202825,hydro,0.2,
,53.4426526,-2.4095483,hydro,0.5,
Loch a' Bhraoin Hydro,57.7435176,-5.0620898,hydro,2.0,
,56.1820416,-3.5697841,hydro,0.5,
River Bollin Hydroelectric Scheme,53.3421551,-2.2519419,hydro,0.05,
Invergarry Power Station,57.0720789,-4.7735663,hydro,20.0,
Radyr Weir Hydroelectric Station,51.5194120,-3.2539102,hydro,0.394,
Torr Achilty Power Station,57.5539644,-4.5983810,hydro,15.0,
Allt Choire a Bhalachain,57.0561567,-5.0817246,hydro,0.8,
Allt Laghain (Laggan),57.0347496,-4.8083245,hydro,0.5,
Allt a Chaitchinn (Achlain),57.1688954,-4.8498025,hydro,0.0906,
Feorline,56.1233979,-5.1554759,hydro,0.0975,
Kinlochbervie,58.4301296,-4.9715719,hydro,0.2,
Cowlyd Lower Hydroelectric generator,53.1766531,-3.8459910,hydro,0.2,
,53.4124846,-2.1388877,hydro,0.1,
Guildford Hydro,51.2337656,-0.5749856,hydro,0.04,
Kirkthorpe Hydropower,53.6865750,-1.4591353,hydro,0.5,
