name,lat,lon,plant:source,plant:output:electricity,plant:storage
Sandylands Nurseries CHP,52.1066882,-1.9121759,gas,1.13,
Tonypandy STOR,51.6286604,-3.4550751,gas,18.0,
,52.9237665,-1.1886328,gas,15.0,
Derby Gas Power Station,52.8838544,-1.4640288,gas,58.0,
Knypersley Generation,53.0985270,-2.1809934,gas,7.0,
,52.0385713,-0.7616152,gas,6.4,
,50.5731758,-3.6106423,gas,5.0,
,51.5066921,-3.6999288,gas,9.6,
Bristol Energy,51.5264781,-2.5648210,gas,50.0,
Grangemouth CHP Power Plant,56.0110763,-3.6955534,gas,145.0,
Didcot OCGT,51.6243160,-1.2635211,gas,100.0,
Didcot B Power Station,51.6257502,-1.2695753,gas,1550.0,
Redfield Road Gas Generation Plant,52.9346020,-1.1789743,gas,40.0,
Rownhams Generation Station,50.9497864,-1.4736122,gas,20.0,
Sudmeadow Road STOR,51.8650873,-2.2638364,gas,40.0,
Kirkby-in-Ashfield Gas Peaking Plant,53.0908012,-1.2697561,gas,6.0,
Severn Power Station,51.5473437,-2.9763266,gas,832.0,
Blackburn Mill Power Station,53.7181000,-2.5374967,gas,60.0,
Hythe CHP,50.8503369,-1.3815853,gas,53.0,
,50.9377363,-1.3501251,gas,20.0,
Port Talbot STOR,51.5925896,-3.7970621,gas,20.0,
Bispham Flexible Generation,53.8487892,-3.0310369,gas,20.0,
Hartmoor Generation,54.7026820,-1.2910315,gas,49.5,
Middlewich Power Generation Plant,53.1872897,-2.4246298,gas,20.0,
Saltholme South Power Station,54.6072868,-1.2437121,gas,50.0,
Saltholme North Power Station,54.6078157,-1.2438947,gas,50.0,
Creyke Beck Power,53.7975485,-0.4180141,gas,50.0,
Lester Way Flexible Generation Facility,51.5962368,-1.1402640,gas,12.0,
The Drove Power Plant,51.1360332,-2.9978258,gas,6.0,
Red Scar Peaking Plant,53.7822380,-2.6430881,gas,90.0,
Chickerell Power Station,50.6233884,-2.4894462,gas,45.0,
Keadby Power Station,53.5947281,-0.7496749,gas,720.0,
Moorfield Drive Power Station,53.7757146,-2.3643642,gas,20.0,
Rake Lane Power Station,53.5262804,-2.3150967,gas,20.0,
Goose House Lane Power Station,53.7073254,-2.4682452,gas,20.0,
Beaufort Road Power Station,53.4028751,-3.0471730,gas,20.0,
Peterborough STOR,52.5757416,-0.2031948,gas,50.0,
Brigg STOR,53.5411014,-0.5080306,gas,50.0,
Beaufort Power Station,51.7981042,-3.2448600,gas,21.0,
,51.9369098,-0.5126846,gas,50.0,
Sandwell Gas Reserve Power Plant (g2 Energy),52.5444392,-2.0204061,gas,21.0,
Aberdare Power Station,51.6975177,-3.4161043,gas,10.0,
Croydon Power plant,51.3764250,-0.1161380,gas,50.0,
Harelaw Peaking Plant,55.9171612,-4.7104655,gas,20.0,
Chadderton Generation,53.5286694,-2.1648645,gas,20.0,
Oldbury Standby Power Generation Plant,52.4920879,-2.0204363,gas,10.0,
,50.8338199,-1.3773956,gas,135.0,
Stock Lane Power Station,53.5425530,-2.1422960,gas,20.0,
Erskine Gas Generation,55.9022944,-4.4841317,gas,19.9,
Heysham Power,53.4818526,-2.9573433,gas,4.0,
Pennine [Isabella] Power 5MW Gas fired Peaker power station,53.4264738,-2.1174994,gas,5.0,
Halton Power,53.3398971,-2.7145013,gas,5.0,
Edison Power 4Mw Gas fired Peaker power station,52.1492991,-0.4190399,gas,4.0,
Westwood Power CHP,51.3681967,1.3907238,gas,20.0,
