country_code,year,vs mean,vs median
SVK,2002,34.04,41.80
SVK,2003,36.31,44.75
SVK,2004,35.10,44.19
SVK,2005,34.61,43.22
SVK,2006,34.66,44.54
SVK,2007,34.55,44.31
SVK,2008,33.65,42.83
SVK,2009,35.53,45.36
SVK,2010,35.65,45.69
SVK,2011,35.78,45.67
SVK,2012,35.78,45.12
SVK,2013,35.96,45.54
SVK,2014,35.41,45.11
SVK,2015,36.91,47.30
SVK,2016,37.52,47.72
SVK,2017,38.16,47.97
SVK,2018,39.40,49.29
SVK,2019,39.85,49.38
SVK,2020,41.96,51.77
SVK,2021,44.00,52.41
SVK,2022,42.65,50.76
SVK,2023,42.64,50.76
SVK,2024,42.85,51.02
SVN,2005,43.13,51.18
SVN,2006,42.08,51.18
SVN,2007,40.72,49.52
SVN,2008,40.62,49.40
SVN,2009,40.74,49.55
SVN,2010,48.03,58.99
SVN,2011,49.37,60.63
SVN,2012,50.49,62.00
SVN,2013,51.93,63.77
SVN,2014,49.48,60.02
SVN,2015,49.29,59.80
SVN,2016,48.40,58.72
SVN,2017,47.99,58.21
SVN,2018,48.70,58.24
SVN,2019,49.12,58.74
SVN,2020,49.17,58.81
SVN,2021,50.52,60.41
SVN,2022,51.58,61.69
SVN,2023,52.64,62.95
SVN,2024,50.81,60.76
TUR,1970,43.82,82.72
TUR,1971,33.04,62.36
TUR,1972,32.93,62.16
TUR,1973,37.27,70.34
TUR,1974,37.67,71.10
TUR,1975,35.48,66.97
TUR,1976,33.85,63.90
TUR,1977,30.46,57.50
TUR,1978,36.87,69.60
TUR,1979,33.59,63.40
TUR,1980,25.12,47.42
TUR,1981,26.58,50.16
TUR,1982,23.32,44.01
TUR,1983,27.20,51.35
TUR,1984,27.59,52.07
TUR,1985,25.42,47.98
TUR,1986,27.35,51.63
TUR,1987,25.94,48.96
TUR,1988,27.63,52.15
TUR,1989,20.51,38.72
TUR,1990,19.72,37.22
TUR,1991,16.28,30.73
TUR,1992,17.64,33.30
TUR,1993,18.42,34.77
TUR,1994,18.64,35.18
TUR,1995,20.48,38.65
TUR,1996,25.04,47.26
TUR,1997,27.25,51.43
TUR,1998,24.23,45.75
TUR,1999,28.68,54.14
TUR,2000,24.27,45.81
TUR,2001,24.38,46.02
TUR,2002,28.20,53.24
TUR,2003,31.04,58.58
TUR,2004,39.21,74.02
TUR,2005,39.44,74.45
TUR,2006,38.43,72.54
TUR,2007,37.90,71.54
TUR,2008,37.56,70.91
TUR,2009,37.76,71.27
TUR,2010,38.51,69.77
TUR,2011,39.39,71.37
TUR,2012,40.25,72.94
TUR,2013,39.86,72.22
TUR,2014,39.34,68.96
TUR,2015,39.89,69.92
TUR,2016,42.75,74.93
TUR,2017,40.69,71.32
TUR,2018,40.50,70.98
TUR,2019,40.49,70.97
TUR,2020,39.42,69.10
TUR,2021,40.17,70.42
TUR,2022,40.05,70.20
TUR,2023,36.71,64.34
TUR,2024,32.11,56.28
USA,1960,,46.95
USA,1961,,48.17
USA,1962,,50.88
USA,1963,,50.86
USA,1964,,52.08
USA,1965,,49.80
USA,1966,,47.89
USA,1967,,50.92
USA,1968,,55.05
USA,1969,,52.81
USA,1970,,49.23
USA,1971,,46.38
USA,1972,,44.44
USA,1973,36.53,40.20
USA,1974,39.79,44.21
USA,1975,40.94,45.36
USA,1976,42.36,46.65
USA,1977,39.32,43.40
USA,1978,42.40,46.65
USA,1979,42.34,47.54
USA,1980,41.72,46.62
USA,1981,41.61,46.46
USA,1982,38.82,43.39
USA,1983,37.26,43.39
USA,1984,35.64,41.05
USA,1985,34.22,38.42
USA,1986,32.97,37.47
USA,1987,31.75,36.06
USA,1988,30.71,34.54
USA,1989,28.53,33.60
USA,1990,29.98,35.62
USA,1991,32.32,38.55
USA,1992,32.29,38.25
USA,1993,31.25,36.73
USA,1994,28.66,36.39
USA,1995,28.72,35.48
USA,1996,28.76,35.76
USA,1997,30.73,38.79
USA,1998,30.93,39.37
USA,1999,29.68,37.51
USA,2000,28.53,35.76
USA,2001,27.06,34.49
USA,2002,26.28,33.88
USA,2003,25.71,33.23
USA,2004,24.96,32.29
USA,2005,24.49,31.63
USA,2006,23.68,30.69
USA,2007,23.45,31.42
USA,2008,25.37,34.13
USA,2009,26.95,37.12
USA,2010,28.43,38.81
USA,2011,27.96,38.34
USA,2012,27.17,37.74
USA,2013,26.75,37.35
USA,2014,26.63,36.65
USA,2015,25.19,35.84
USA,2016,24.83,34.86
USA,2017,24.29,33.72
USA,2018,23.20,32.73
USA,2019,22.32,31.62
USA,2020,21.11,29.47
USA,2021,20.48,29.06
USA,2022,19.06,27.38
USA,2023,18.33,25.96
USA,2024,17.66,25.02
