Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,lon,lat,area (sqm)
1275,Operational,5.0,2013-03-19,-0.074,52.201,93411
1278,Operational,1.2,2014-03-26,-1.574,54.548,22204
1282,Operational,12.0,2014-03-27,-1.151,51.083,223000
1283,Operational,3.0,2014-09-30,-3.642,50.364,89100
1284,Operational,3.0,2014-11-05,-1.195,51.733,55934
1285,Operational,2.6,2016-03-15,-1.112,52.803,48438
1287,Revised,7.0,,-0.639,51.186,140000
1292,Operational,4.9,2016-12-09,0.403,51.963,117000
1294,Operational,5.0,2014-03-31,-1.226,53.794,93411
1296,Operational,4.8,2016-04-07,-6.191,54.558,89663
1298,Operational,2.4,2014-03-31,-1.098,51.663,44690
1299,Operational,3.6,2014-07-03,1.168,52.901,79700
1303,Operational,3.1,2014-09-01,-3.395,50.899,94000
1304,Operational,7.2,2014-03-19,-2.113,51.626,134636
1306,Operational,1.7,2015-03-15,-1.022,51.401,40000
1308,Operational,6.1,2014-03-27,-4.69,50.419,114023
1310,Awaiting Construction,1.4,,0.241,53.144,34500
1311,Revised,3.8,,-2.482,51.871,75000
1314,Operational,3.5,2014-08-05,-2.161,51.273,122000
1315,Operational,4.1,2015-03-14,-0.078,52.356,79000
1320,Operational,1.0,2014-12-01,1.231,51.267,25000
1321,Revised,25.0,,-1.336,51.609,432100
1322,Operational,10.8,2014-11-13,0.391,51.958,180000
1324,Operational,4.0,2015-03-19,0.453,50.875,74672
1325,Operational,12.0,2017-02-17,-1.208,50.944,284000
1328,Operational,13.9,2014-03-31,1.701,52.662,290000
1329,Operational,10.2,2014-03-31,1.187,52.913,249000
1330,Operational,9.0,2014-03-31,-3.944,51.794,219000
1331,Operational,14.8,2014-03-31,-1.348,51.617,277050
1332,Operational,18.7,2014-03-31,1.124,51.913,350130
1333,Operational,5.0,2014-03-31,-1.536,51.161,93411
1335,Operational,49.6,2016-03-31,-2.09,51.373,805000
1338,Operational,20.9,2014-03-31,0.611,52.289,391356
1339,Operational,5.0,2012-04-17,-0.561,52.406,93411
1340,Operational,1.8,2012-10-04,0.388,52.77,31200
1341,Operational,3.2,2013-03-21,-4.13,50.817,86300
1342,Operational,5.0,2012-04-16,-1.069,51.214,161900
1343,Operational,7.0,2013-03-14,-1.485,50.687,117100
1344,Operational,5.0,2013-02-28,-2.603,50.994,136000
1346,Operational,5.2,2013-06-03,-4.039,50.922,164000
1347,Revised,4.4,,1.649,52.341,107000
1348,Operational,8.9,2014-09-10,-2.945,52.689,166492
1349,Operational,8.2,2013-03-28,-3.213,51.052,153375
1350,Operational,3.8,2015-05-27,-5.943,54.669,70925
1352,Operational,4.8,2013-03-08,-3.359,50.746,89663
1353,Operational,6.0,2013-03-28,-5.015,50.307,112150
