Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),lon,lat
4240,Operational,7.5,2014-01-15,2.5,3,,-4.09,55.742
4244,Operational,177.0,2018-09-15,3.0,59,126.0,-3.132,57.351
4245,Operational,13.8,2017-03-13,2.3,6,,-7.01,54.567
4246,Operational,5.0,2017-05-31,1.6,3,,-6.178,54.79
4247,Operational,22.5,2016-05-30,2.5,9,,-4.123,56.089
4248,Operational,26.0,2016-02-20,2.0,13,100.0,-0.032,52.642
4249,Operational,37.5,2017-09-01,2.5,15,,-6.765,54.981
4250,Operational,20.5,2013-07-30,1.95,10,,-1.764,55.52
4251,Awaiting Construction,21.0,,3.0,6,,-7.501,54.612
4252,Revised,29.0,,2.23,13,,-2.923,57.627
4253,Operational,48.4,2016-02-18,1.67,29,,-3.763,55.762
4255,Operational,7.5,2017-02-24,2.5,3,,-7.048,54.553
4256,Operational,16.4,2017-01-30,2.0,8,115.0,-0.001,53.51
4258,Revised,72.0,,2.6,28,135.0,-4.886,54.999
4260,Operational,68.0,2015-02-26,2.0,34,,-0.764,53.612
4261,Operational,66.7,2014-05-30,2.3,29,,-3.475,57.447
4262,Operational,50.0,2018-02-15,2.0,25,120.0,-4.174,55.312
4263,Operational,30.75,2017-03-17,2.05,15,111.0,-3.672,55.805
4264,Operational,13.8,2017-01-13,2.3,6,,-7.214,54.884
4266,Operational,18.0,2016-11-17,2.0,9,,-3.867,50.78
4267,Revised,39.1,,3.0,13,125.0,-3.89,57.387
4269,Operational,69.0,2016-08-15,3.0,23,,-4.488,55.304
4272,Operational,9.0,2015-07-17,3.0,3,,-6.481,58.208
4275,Revised,11.5,,2.05,5,,-5.026,51.682
4281,Operational,8.3,2016-03-17,3.2,3,147.0,-3.606,55.758
4294,Revised,19.8,,5.0,6,,-4.111,55.313
4295,Operational,1.5,2014-12-18,1.5,1,,-0.634,51.952
4297,Operational,23.5,,1.8,10,,-6.801,54.995
4299,Operational,9.2,2017-05-15,2.3,4,,-3.263,58.595
4300,Operational,92.4,2023-01-12,4.2,22,125.0,-4.511,58.219
4301,Awaiting Construction,24.0,,3.0,8,,-6.889,55.069
4307,Operational,27.2,2023-01-01,3.4,8,,-3.765,55.836
4312,Awaiting Construction,9.9,,0.9,11,79.0,-4.401,53.407
4315,Under Construction,9.0,,2.3,3,,-4.789,55.663
4316,Operational,13.2,2018-02-15,2.2,6,,-2.915,55.01
4318,Revised,126.0,,7.0,18,180.0,-1.09,60.704
4320,Operational,12.5,2017-07-14,2.5,5,,-7.049,54.569
4321,Operational,16.0,2015-05-01,2.0,8,,-2.15,53.75
4325,Operational,16.1,2017-03-16,2.0,7,,-7.09,54.477
4326,Operational,7.5,2017-01-12,2.5,3,,0.271,50.829
4327,Operational,15.0,2013-09-01,2.5,6,,-0.597,53.835
4328,Operational,6.0,2015-12-20,2.0,3,,-5.481,55.934
4330,Operational,10.0,2019-04-08,2.0,5,115.0,-3.455,58.449
4331,Operational,48.3,2016-06-29,2.3,21,,-5.31,56.153
